id,year,size,roa,ato,cashflow,growth,board,indep,listage,mfee,ind,city,indy,IDig,ishigh,islow,ismid,HDig,MDig,HDigMid,Hsize,Msize,Hlistage,Mlistage,Hroa,Mroa,Hato,Mato,Hcashflow,Mcashflow,Hgrowth,Mgrowth,Hindep,Mindep,Hmfee,Mmfee,IVHDig,IVMDig,D,IDigP,ishigh1,islow1,ismid1,HDig1,MDig1,HLea,MLea,HGra,MGra,HPen,MPen,HExp,MExp,HSim,MSim,HDigHSim,MDigMsim,HCGap,MCGap,HDigHCGap,MDigMCGap,HEGap,MEGap,HDigHEGap,MDigMEGap,Hmanufac,Hservice,Happlica,Helement,Mmanufac,Mservice,Mapplica,Melement,HEco,MEco,HEle,MEle,HClu,MClu,HMar,MMar
2,2014,21.407619,.024180001,.157324,-.034104999,-.12847801,1.94591,.42857099,1.6094379,.096858002,12,8,174,0,,1,,2.2600701,.95341617,0,22.207541,21.748726,2.1173167,1.8331586,.040873401,.037450898,.87678099,.78873068,.080257401,.052310999,.068482801,.1065755,.36450177,.33333299,.068901002,.082071997,.16762407,1.6658182,0,0,,1,,2.2600701,.95341623,.018937349,.17960352,0,0,0,0,0,0,0,.027272727,.062736347,.015797945,1.0175192,.54116458,-.065420315,-.2566064,-.12629569,.17968345,-.28543711,.17131311,2.3353658,.21972246,1.0175192,.93642628,.81478673,0,.069314718,0,1,1,1,0,1,0,1,1
2,2015,21.605101,.042142998,.362205,.048028,1.3370889,1.94591,.42857099,1.791759,.058676001,12,8,175,0,,1,,2.3484931,1.0280178,0,22.288206,21.727865,2.1640248,1.5574728,.041196834,.039768066,.80451715,.61401355,.060301665,.045182865,.010112335,.060255401,.36120099,.36256579,.074361831,.0789674,.18984485,2.2617631,0,0,,1,,2.3484931,1.028018,-.088423014,-.074601591,0,0,0,0,0,0,0,.0099999998,.046467409,.019344332,1.0289644,.21187025,-.051345889,-.09362375,-.029784441,.22949374,-.069948554,.23592363,2.3294687,.18310206,1.0310348,.89587975,.86803442,0,.046209812,0,1,1,1,0,1,1,1,1
2,2016,21.669067,.02861,.38489401,.0034680001,.20578,1.94591,.42857099,1.94591,.049663998,12,8,176,0,,1,,2.4280448,1.0859916,0,22.576805,21.81576,2.2786682,1.6581519,.048172332,.029811317,.81338084,.58271307,.0739365,.028163157,.25999767,.10854763,.34920597,.36806571,.075199336,.08389695,.28831837,2.6810215,0,0,,1,,2.428045,1.085992,-.079551697,-.057973862,0,0,0,0,0,0,0,.0060728742,.031830702,.017436597,1.3168346,.64367312,-.084974773,-.20976885,-.013803244,.27627337,-.033514895,.30003056,2.5293479,0,1.0310348,.89587975,.90143597,0,.14592572,.036481429,1,1,1,0,1,1,1,1
2,2017,21.737049,.015569,.38307399,-.041452002,.063219003,1.94591,.42857099,2.079442,.041928999,12,8,177,0,,1,,2.3414509,.96882963,0,22.552446,21.677504,2.4259245,1.2692645,.052408248,.047545705,.81254077,.67907912,.036029749,.043065149,.28904802,.24341971,.35044611,.37750357,.083011001,.076074071,.36772656,2.9861867,0,0,,1,,2.3414509,.96882957,.086593866,.11716199,0,0,0,0,0,0,.001004016,.017604696,.047502462,.019309036,.30254602,-.38310975,.13579795,.14147773,.088031054,.31292915,.20612039,.30317503,2.3070939,0,.53458327,.46110994,.80729604,0,.17970483,.077016354,1,1,1,0,1,1,1,0
2,2018,21.804447,.022,.34002599,.034568999,-.050223,1.94591,.42857099,2.1972251,.048907001,12,8,178,0,,1,,2.5341122,1.0494851,0,22.546776,21.814499,2.6085341,1.616714,.045790199,.047197588,.81735379,.71106505,.071024798,.060547791,.093787201,.25493121,.36071399,.36943543,.050633799,.051626138,.37525809,3.2760119,0,0,,1,,2.534112,1.049485,-.19266129,-.080655456,2.4462786,3.3512197,0,0,0,0,.002298851,.028964629,.0121615,.011743786,1.4067013,.59883362,-.038892172,-.21972588,-.011366963,.34848964,-.028805161,.3657347,2.701997,0,.7742402,.46051702,.81632733,0,.19121301,.095606506,0,1,1,0,1,0,1,0
2,2019,22.028166,.052940998,.50858098,.061946001,.73991603,1.94591,.42857099,2.3025849,.029507,12,8,179,0,,1,,2.5525806,1.3590617,0,22.61451,21.865404,2.6570234,1.7904458,.064400837,.037879568,.88260949,.71683639,.069005333,.071688257,.13815783,.15518157,.34444416,.3832013,.0435475,.049284045,.39519387,3.7086821,0,0,,1,,2.5525811,1.359062,-.01846838,-.30957663,0,0,0,0,0,0,.031752124,.10842954,.0073784585,-.0013780734,.65407431,-.12281322,.0083160903,.0023252456,.11181521,.3171711,.28541735,.4310551,2.5422413,0,.91343981,.52967566,1.3319345,0,.4492465,.22858676,1,1,1,0,1,1,1,0
2,2020,22.262266,.111419,.79676998,.0037400001,.970806,1.94591,.42857099,2.3978951,.019169001,12,8,180,.69314718,,1,,2.4405825,1.160239,0,22.637774,21.937084,2.6645939,1.8512448,.041185778,.043464594,.82090753,.68155283,.078217223,.046566781,.12061744,.059167877,.35132244,.39178249,.043607779,.049739219,.39206371,3.5383472,1,1.0986123,,1,,2.440583,1.160239,.11199808,.19882274,0,0,.69314718,0,0,0,.036904905,.065646544,.023601955,-.00049689587,1.0652673,.44057843,-.038448859,-.11188378,.18589699,.35874665,.45369694,.41623184,2.4317272,.077016354,1.0638871,.84000897,1.0709414,.021660849,.34455675,.17696752,1,1,1,0,0,1,1,0
3,2016,22.734493,.147798,.93304998,.035441998,.29203701,1.94591,.42857099,0,.101848,9,137,77,0,,1,,1.5890269,.7742402,0,23.714302,21.973221,2.4563274,1.8304996,.0397765,.039081402,.41677999,.61164242,.0234295,.072966598,.109091,.123055,.40000001,.4095234,.084748998,.085343197,.34059018,3.5115454,0,0,,1,,1.589027,.7742402,,,2.8598895,0,0,0,.69314718,.69314718,.38437951,.2138429,-.2027984,-.092544682,.89587975,.21972246,-.071065873,-.1641448,-.16355908,-.71874881,-.2598998,-.55648422,1.3862944,0,.54930615,.34657359,.69314718,0,.13862944,0,1,0,0,1,1,1,1,1
3,2017,22.91861,.113288,.84442401,.064966001,.25356999,1.94591,.42857099,.693147,.091622002,9,137,78,0,,1,,1.5214494,.96345729,0,23.956728,21.218287,2.524168,1.1107347,.067160331,.059115332,.55416435,.66071832,.063107997,.084407672,.30020466,.14629434,.40952367,.36507899,.069296665,.10188867,.38476366,3.7860062,0,0,,1,,1.521449,.96345729,.067577481,-.18921709,2.1299603,0,0,0,.84729785,.28768209,.33036783,.21541144,-.15802933,-.064762294,.23104906,.46209812,.64193851,-.21699768,-.16768897,-.52145875,-.25513029,-.5024032,1.4606756,0,.59725314,.23104906,.73240823,0,0,0,0,0,1,1,1,1,1,1
3,2018,23.127525,.097603999,.85554302,.072164997,.234681,1.791759,.5,1.098612,.058502,9,137,79,1.3862944,,1,,1.553652,.79451346,0,23.170666,22.092024,2.1262801,2.194119,.069544002,.049053252,.5547905,.64333075,.104261,.055605751,.075996749,.20332,.381385,.43214273,.03768225,.05587475,.42782527,3.7045066,1,1.0986123,,1,,1.553652,.79451352,-.032202601,.16894382,3.7849953,1.2506621,0,0,.69314718,1.2527629,.36405545,.4039813,-.18859984,-.20266813,-.1732868,-.51986039,1.0462899,.28146708,-.29913807,-.735021,-.46475646,-.58398408,1.5100636,0,.62122667,.34657359,.44793987,0,.1732868,0,1,1,1,1,1,0,1,1
